model,train_dataset,eval_dataset,eval_condition,accuracy,balanced_accuracy,f1_weighted
ResNet50,IDRiD,IDRiD,srcnn_degraded,0.8813559322033898,0.8353618002263431,0.8787953864239005
ResNet50,IDRiD,APTOS,original,0.4533042053522665,0.3150060666214117,0.44093082881543333
ResNet50,IDRiD,APTOS,degraded,0.4448388858547242,0.31351224358103713,0.4350228941528369
ResNet50,IDRiD,APTOS,bicubic_original,0.4533042053522665,0.3150060666214117,0.44093082881543333
ResNet50,IDRiD,APTOS,bicubic_degraded,0.4448388858547242,0.31351224358103713,0.4350228941528369
ResNet50,IDRiD,APTOS,espcn_original,0.4636810486073184,0.33079037902399433,0.4564942071844294
ResNet50,IDRiD,APTOS,espcn_degraded,0.4516657564172583,0.32840982558204435,0.44644113758321163
ResNet50,IDRiD,APTOS,fsrcnn_original,0.4557618787547788,0.262702324832591,0.415904075962071
ResNet50,IDRiD,APTOS,fsrcnn_degraded,0.443200436919716,0.2515564500462086,0.40593641240796896
ResNet50,IDRiD,APTOS,srcnn_original,0.4478427089022392,0.3154320542703514,0.4376776586681038
ResNet50,IDRiD,APTOS,srcnn_degraded,0.4410158383397051,0.31242164946843,0.43196461065561315
EffNetB0,IDRiD,IDRiD,original_val,0.5288461538461539,0.3927852852852853,0.4959490846665388
EffNetB0,IDRiD,IDRiD,original_full,0.8042635658914729,0.7496150664763048,0.8001943748177026
EffNetB0,IDRiD,IDRiD,degraded,0.7945736434108527,0.7353818045409592,0.7902638609027925
EffNetB0,IDRiD,IDRiD,bicubic_original,0.8523002421307506,0.7939534757025036,0.850435745483843
EffNetB0,IDRiD,IDRiD,bicubic_degraded,0.8450363196125908,0.7907079782296138,0.8437594935315568
EffNetB0,IDRiD,IDRiD,espcn_original,0.8498789346246973,0.7898279448931651,0.8479044614103886
EffNetB0,IDRiD,IDRiD,espcn_degraded,0.8426150121065376,0.7892154409161809,0.8414654221336457
EffNetB0,IDRiD,IDRiD,fsrcnn_original,0.7046004842615012,0.5796787274813112,0.6896797296403686
EffNetB0,IDRiD,IDRiD,fsrcnn_degraded,0.711864406779661,0.5802473333020178,0.6960938145534376
EffNetB0,IDRiD,IDRiD,srcnn_original,0.8498789346246973,0.7963040972742466,0.8484622281315798
EffNetB0,IDRiD,IDRiD,srcnn_degraded,0.847457627118644,0.7896114202034183,0.8456926400143877
EffNetB0,IDRiD,APTOS,original,0.6228836701256144,0.4425661718581793,0.6109795101931333
EffNetB0,IDRiD,APTOS,degraded,0.5723648279628618,0.41744057144406527,0.5700121238103244
EffNetB0,IDRiD,APTOS,bicubic_original,0.6228836701256144,0.4425661718581793,0.6109795101931333
EffNetB0,IDRiD,APTOS,bicubic_degraded,0.5723648279628618,0.41744057144406527,0.5700121238103244
EffNetB0,IDRiD,APTOS,espcn_original,0.5884762424904424,0.4314142661307857,0.5876841587764072
EffNetB0,IDRiD,APTOS,espcn_degraded,0.5147460404150738,0.3897789076536333,0.5265584210873181
EffNetB0,IDRiD,APTOS,fsrcnn_original,0.6660294920808302,0.429798235377699,0.6297437653945345
