train_dataset,eval_dataset,eval_condition,model,accuracy,balanced_accuracy,f1_weighted
APTOS,APTOS,srcnn_degraded,RF,0.8675587110868378,0.6995767864684039,0.8572177891080933
APTOS,IDRiD,original,RF,0.45155038759689925,0.3165386851954016,0.3703034631990354
APTOS,IDRiD,degraded,RF,0.45155038759689925,0.3192180953374983,0.3697483770744273
APTOS,IDRiD,bicubic_original,RF,0.5108958837772397,0.34138610668147856,0.4340903100494146
APTOS,IDRiD,bicubic_degraded,RF,0.513317191283293,0.34551163749081726,0.43798265293454647
APTOS,IDRiD,espcn_original,RF,0.5254237288135594,0.36330875633835624,0.4527503330903526
APTOS,IDRiD,espcn_degraded,RF,0.5157384987893463,0.3522043145616456,0.44242244059402486
APTOS,IDRiD,fsrcnn_original,RF,0.5326876513317191,0.37116859652291734,0.4668779424481819
APTOS,IDRiD,fsrcnn_degraded,RF,0.5254237288135594,0.3614908448252234,0.4587065479017818
APTOS,IDRiD,srcnn_original,RF,0.5157384987893463,0.35218236548350684,0.4425594581189577
APTOS,IDRiD,srcnn_degraded,RF,0.513317191283293,0.3533667198222573,0.44079390645688643
APTOS,APTOS,original_val,XGB,0.7858117326057299,0.5327312595436451,0.7603416490580962
APTOS,APTOS,degraded,XGB,0.9254505734571272,0.8409944209823987,0.9232200143787932
APTOS,APTOS,bicubic_original,XGB,0.9516657564172584,0.8951532436499962,0.950966130959686
APTOS,APTOS,bicubic_degraded,XGB,0.9254505734571272,0.8409944209823987,0.9232200143787932
APTOS,APTOS,espcn_original,XGB,0.9213544511196068,0.8356383010790391,0.9189023872636113
APTOS,APTOS,espcn_degraded,XGB,0.8866739486619334,0.7672308003663803,0.8794282871409105
APTOS,APTOS,fsrcnn_original,XGB,0.795193883123976,0.5519009087217329,0.7710564361573797
APTOS,APTOS,fsrcnn_degraded,XGB,0.7889131622064446,0.5563509448236867,0.7677559787665159
APTOS,APTOS,srcnn_original,XGB,0.942381212452212,0.8756920007963392,0.9411994954938936
APTOS,APTOS,srcnn_degraded,XGB,0.9085199344620426,0.8105366028878359,0.9047194289156771
APTOS,IDRiD,original,XGB,0.49806201550387597,0.36456704223809294,0.4370191438859475
APTOS,IDRiD,degraded,XGB,0.4883720930232558,0.3598598091726509,0.42800802863802
APTOS,IDRiD,bicubic_original,XGB,0.549636803874092,0.3947593761183376,0.48900374443106853
APTOS,IDRiD,bicubic_degraded,XGB,0.5569007263922519,0.4069013567508488,0.5012837183114481
APTOS,IDRiD,espcn_original,XGB,0.5544794188861986,0.40417670497000735,0.4966391460271711
APTOS,IDRiD,espcn_degraded,XGB,0.5617433414043583,0.41506462205697126,0.5061762571896589
APTOS,IDRiD,fsrcnn_original,XGB,0.5205811138014528,0.3938502266578273,0.46846995754055665
APTOS,IDRiD,fsrcnn_degraded,XGB,0.5302663438256658,0.40100859222268975,0.4789118910913019
APTOS,IDRiD,srcnn_original,XGB,0.559322033898305,0.407161779596873,0.4995975767716004
APTOS,IDRiD,srcnn_degraded,XGB,0.559322033898305,0.4135720847435384,0.5051252785002617
