dataset,image,method,psnr,ssim
APTOS,0232dfea7547.png,srcnn,37.248703917978645,0.9287263891610436
APTOS,02358b47ea89.png,bicubic,38.7088654450933,0.9008590040450773
APTOS,02358b47ea89.png,espcn,35.82445993436273,0.9587967490064161
APTOS,02358b47ea89.png,fsrcnn,30.792641693178062,0.8654956321171415
APTOS,02358b47ea89.png,srcnn,40.03445685867712,0.9618260745990278
APTOS,02cd34a85b24.png,bicubic,37.49575363138425,0.8862342297371223
APTOS,02cd34a85b24.png,espcn,36.95640401022514,0.917023522244695
APTOS,02cd34a85b24.png,fsrcnn,32.171405993455615,0.8656296197071957
APTOS,02cd34a85b24.png,srcnn,37.5240384207176,0.912041911650932
APTOS,02da652c74b8.png,bicubic,37.288736596821884,0.886305972955827
APTOS,02da652c74b8.png,espcn,37.03323944372141,0.9250265401210984
APTOS,02da652c74b8.png,fsrcnn,32.06169376494532,0.8837847473632264
APTOS,02da652c74b8.png,srcnn,37.5316316818068,0.9267701433130312
APTOS,0304bedad8fe.png,bicubic,36.78817298184116,0.8835152755589016
APTOS,0304bedad8fe.png,espcn,36.065830751453504,0.9160141198705521
APTOS,0304bedad8fe.png,fsrcnn,32.41950347881125,0.869836424953887
APTOS,0304bedad8fe.png,srcnn,36.820916869302884,0.9145686000100414
APTOS,03b373718013.png,bicubic,38.038902085772996,0.9015748599950749
APTOS,03b373718013.png,espcn,37.7786664315234,0.9392505036911908
APTOS,03b373718013.png,fsrcnn,29.981510238777744,0.850155235679912
APTOS,03b373718013.png,srcnn,38.22219566848821,0.9465211548192168
APTOS,0423237770a7.png,bicubic,37.02620115223482,0.8892904287117891
APTOS,0423237770a7.png,espcn,36.54959070246428,0.9216147994767233
APTOS,0423237770a7.png,fsrcnn,32.922419408506,0.8719767840971727
APTOS,0423237770a7.png,srcnn,37.29951974235995,0.9316668733090876
APTOS,04579e31e4be.png,bicubic,37.102626655540966,0.8856060269595994
APTOS,04579e31e4be.png,espcn,36.16182327452432,0.9137115236734937
APTOS,04579e31e4be.png,fsrcnn,32.02229510478941,0.8585746695092645
APTOS,04579e31e4be.png,srcnn,37.026370729080924,0.9143173405930017
APTOS,04aef84a2cc1.png,bicubic,38.599308695929054,0.8899173436511841
APTOS,04aef84a2cc1.png,espcn,38.7095531311203,0.9713493545548314
APTOS,04aef84a2cc1.png,fsrcnn,31.44841121435348,0.9561737924172719
APTOS,04aef84a2cc1.png,srcnn,39.176626992461784,0.9120639397897138
APTOS,04efb1a284cc.png,bicubic,36.70922598813278,0.8814690386693979
